Diameter,Height,Length,Rings,Sex,ShellWeight,ShuckedWeight,VisceraWeight,WholeWeight
0.365,0.095,0.455,15.0,M,0.15,0.2245,0.101,0.514
0.265,0.09,0.35000000000000003,7.0,M,0.07,0.0995,0.0485,0.2255
0.42,0.135,0.53,9.0,F,0.21,0.2565,0.14150000000000001,0.677
0.365,0.125,0.44,10.0,M,0.155,0.2155,0.114,0.516
0.255,0.08,0.33,7.0,I,0.055,0.08950000000000001,0.0395,0.20500000000000002
0.30000000000000004,0.095,0.425,8.0,I,0.12,0.14100000000000001,0.0775,0.35150000000000003
0.41500000000000004,0.15,0.53,20.0,F,0.33,0.23700000000000002,0.14150000000000001,0.7775000000000001
0.425,0.125,0.545,16.0,F,0.26,0.294,0.1495,0.768
0.37,0.125,0.47500000000000003,9.0,M,0.165,0.2165,0.1125,0.5095000000000001
0.44,0.15,0.55,19.0,F,0.32,0.3145,0.151,0.8945000000000001
0.38,0.14,0.525,14.0,F,0.21,0.194,0.14750000000000002,0.6065
0.35000000000000003,0.11,0.43,10.0,M,0.135,0.1675,0.081,0.406
0.38,0.135,0.49,11.0,M,0.19,0.2175,0.095,0.5415
0.405,0.145,0.535,10.0,F,0.20500000000000002,0.2725,0.171,0.6845
0.355,0.1,0.47000000000000003,10.0,F,0.185,0.1675,0.0805,0.47550000000000003
0.4,0.13,0.5,12.0,M,0.24,0.258,0.133,0.6645
0.28,0.085,0.355,7.0,I,0.115,0.095,0.0395,0.29050000000000004
0.34,0.1,0.44,10.0,F,0.13,0.188,0.08700000000000001,0.451
0.295,0.08,0.365,7.0,M,0.1,0.097,0.043000000000000003,0.2555
0.32,0.1,0.45,9.0,M,0.115,0.1705,0.075,0.381
0.28,0.095,0.355,11.0,M,0.075,0.0955,0.062,0.24550000000000002
0.275,0.1,0.38,10.0,I,0.085,0.08,0.049,0.2255
0.44,0.155,0.5650000000000001,12.0,F,0.27,0.42750000000000005,0.214,0.9395
0.41500000000000004,0.135,0.55,9.0,F,0.2,0.318,0.21,0.7635000000000001
0.48,0.165,0.615,10.0,F,0.305,0.513,0.301,1.1615
0.44,0.14,0.56,11.0,F,0.30000000000000004,0.3825,0.188,0.9285
0.45,0.185,0.58,11.0,F,0.28500000000000003,0.3945,0.272,0.9955
0.445,0.14,0.59,12.0,M,0.28,0.356,0.234,0.931
0.47500000000000003,0.18,0.605,15.0,M,0.295,0.394,0.219,0.9365
0.425,0.14,0.5750000000000001,11.0,M,0.2,0.393,0.227,0.8635
0.47000000000000003,0.165,0.58,10.0,M,0.33,0.3935,0.242,0.9975
0.56,0.165,0.68,15.0,F,0.46,0.6055,0.2805,1.639
0.525,0.165,0.665,18.0,M,0.35000000000000003,0.5515,0.35750000000000004,1.338
0.55,0.17500000000000002,0.68,19.0,F,0.455,0.8150000000000001,0.3925,1.798
0.55,0.2,0.705,13.0,F,0.49,0.633,0.41150000000000003,1.7095
0.355,0.105,0.465,8.0,M,0.125,0.227,0.124,0.47950000000000004
0.47500000000000003,0.155,0.54,16.0,F,0.34,0.5305,0.3075,1.217
0.355,0.105,0.45,8.0,F,0.145,0.23700000000000002,0.1165,0.5225000000000001
0.445,0.135,0.5750000000000001,11.0,F,0.26,0.381,0.20350000000000001,0.883
0.29,0.09,0.355,9.0,M,0.09,0.134,0.08600000000000001,0.3275
0.335,0.105,0.45,9.0,F,0.115,0.1865,0.091,0.425
0.425,0.135,0.55,14.0,F,0.27,0.362,0.196,0.8515
0.17500000000000002,0.045,0.24,5.0,I,0.02,0.0315,0.0235,0.07
0.15,0.055,0.20500000000000002,5.0,I,0.012,0.025500000000000002,0.015,0.042
0.15,0.05,0.21,4.0,I,0.015,0.0175,0.0125,0.042
0.295,0.095,0.39,7.0,I,0.075,0.08750000000000001,0.045,0.203
0.37,0.12,0.47000000000000003,9.0,M,0.14,0.293,0.227,0.5795
0.375,0.12,0.46,7.0,F,0.15,0.17750000000000002,0.11,0.4605
0.245,0.07,0.325,6.0,I,0.045,0.0755,0.025500000000000002,0.161
0.425,0.16,0.525,9.0,F,0.245,0.35450000000000004,0.21350000000000002,0.8355
0.41000000000000003,0.12,0.52,8.0,I,0.19,0.23850000000000002,0.111,0.595
0.32,0.095,0.4,7.0,M,0.1,0.1335,0.06,0.303
0.36,0.13,0.485,10.0,M,0.16,0.2595,0.096,0.5415
0.36,0.12,0.47000000000000003,10.0,F,0.15,0.21050000000000002,0.10550000000000001,0.47750000000000004
0.31,0.1,0.405,7.0,M,0.11,0.17300000000000001,0.0915,0.385
0.4,0.14,0.5,8.0,F,0.22,0.2565,0.17550000000000002,0.6615
0.35000000000000003,0.12,0.445,8.0,M,0.135,0.192,0.0955,0.4425
0.385,0.135,0.47000000000000003,8.0,M,0.17,0.2765,0.12,0.5895
0.19,0.06,0.245,4.0,I,0.025,0.042,0.014,0.08600000000000001
0.4,0.125,0.505,7.0,F,0.17500000000000002,0.246,0.13,0.583
0.34500000000000003,0.105,0.45,7.0,M,0.135,0.18,0.1125,0.41150000000000003
0.405,0.11,0.505,9.0,M,0.17500000000000002,0.305,0.16,0.625
0.41000000000000003,0.13,0.53,10.0,F,0.2,0.302,0.1935,0.6965
0.325,0.095,0.425,7.0,M,0.1,0.1705,0.08,0.3785
0.4,0.12,0.52,8.0,M,0.185,0.234,0.1315,0.58
0.355,0.12,0.47500000000000003,8.0,M,0.135,0.234,0.1015,0.48
0.44,0.16,0.5650000000000001,12.0,F,0.32,0.354,0.1935,0.915
0.495,0.185,0.595,13.0,F,0.485,0.41600000000000004,0.224,1.2850000000000001
0.39,0.12,0.47500000000000003,10.0,F,0.17,0.21350000000000002,0.1155,0.5305
0.23500000000000001,0.07,0.31,6.0,I,0.045,0.063,0.0405,0.151
0.425,0.13,0.555,13.0,M,0.275,0.264,0.168,0.7665000000000001
0.32,0.11,0.4,8.0,F,0.1,0.1405,0.0985,0.353
0.47500000000000003,0.17,0.595,20.0,F,0.425,0.48,0.225,1.2469999999999999
0.48,0.17500000000000002,0.5700000000000001,11.0,M,0.38,0.47400000000000003,0.261,1.185
0.45,0.195,0.605,13.0,F,0.315,0.481,0.28950000000000004,1.098
0.47500000000000003,0.15,0.6000000000000001,15.0,F,0.28,0.4425,0.221,1.0075
0.47500000000000003,0.14,0.595,9.0,M,0.315,0.36250000000000004,0.189,0.9440000000000001
0.47000000000000003,0.15,0.6000000000000001,10.0,F,0.305,0.363,0.194,0.922
0.425,0.14,0.555,11.0,F,0.28500000000000003,0.28200000000000003,0.1595,0.788
0.47500000000000003,0.17,0.615,14.0,F,0.34500000000000003,0.46950000000000003,0.23550000000000001,1.1025
0.445,0.14,0.5750000000000001,9.0,F,0.28500000000000003,0.3845,0.252,0.9410000000000001
0.51,0.17500000000000002,0.62,12.0,M,0.675,0.5105000000000001,0.192,1.615
0.425,0.165,0.52,16.0,F,0.32,0.396,0.225,0.9885
0.47500000000000003,0.16,0.595,21.0,M,0.58,0.40800000000000003,0.234,1.3175
0.45,0.14,0.58,14.0,M,0.36,0.38,0.216,1.013
0.465,0.18,0.5700000000000001,12.0,F,0.44,0.339,0.2225,1.295
0.465,0.14,0.625,13.0,M,0.4,0.48250000000000004,0.20500000000000002,1.195
0.44,0.16,0.56,10.0,M,0.26,0.3305,0.20750000000000002,0.8645
0.355,0.13,0.46,9.0,F,0.165,0.2205,0.114,0.517
0.45,0.16,0.5750000000000001,12.0,F,0.33,0.3135,0.231,0.9775
0.425,0.135,0.5650000000000001,15.0,M,0.255,0.341,0.1675,0.8115
0.44,0.15,0.555,12.0,M,0.26,0.307,0.1525,0.755
0.465,0.17500000000000002,0.595,13.0,M,0.39,0.4015,0.254,1.115
0.495,0.165,0.625,10.0,F,0.39,0.507,0.318,1.262
0.56,0.19,0.6950000000000001,15.0,M,0.485,0.588,0.3425,1.494
0.535,0.195,0.665,14.0,M,0.48,0.5755,0.388,1.6059999999999999
0.435,0.15,0.535,9.0,M,0.25,0.269,0.1385,0.725
0.375,0.13,0.47000000000000003,8.0,M,0.145,0.214,0.132,0.523
0.37,0.13,0.47000000000000003,7.0,M,0.165,0.201,0.133,0.5225000000000001
0.375,0.125,0.47500000000000003,10.0,F,0.155,0.2775,0.085,0.5785
0.265,0.095,0.36,7.0,I,0.075,0.105,0.046,0.2315
0.435,0.145,0.55,15.0,M,0.255,0.328,0.1915,0.843
0.435,0.16,0.53,15.0,M,0.335,0.316,0.164,0.883
0.41500000000000004,0.14,0.53,10.0,M,0.20500000000000002,0.3105,0.1675,0.724
0.47000000000000003,0.16,0.605,12.0,M,0.34500000000000003,0.4975,0.24050000000000002,1.1735
0.41000000000000003,0.155,0.52,12.0,F,0.23500000000000001,0.291,0.1835,0.727
0.43,0.165,0.545,11.0,F,0.28,0.29350000000000004,0.183,0.802
0.4,0.125,0.5,10.0,F,0.22,0.261,0.1315,0.6675
0.39,0.135,0.51,9.0,F,0.2,0.231,0.179,0.6335000000000001
0.395,0.105,0.435,9.0,F,0.13,0.136,0.098,0.3635
0.395,0.125,0.495,9.0,M,0.155,0.23750000000000002,0.1345,0.5415
0.36,0.105,0.465,9.0,M,0.17500000000000002,0.17200000000000001,0.107,0.431
0.32,0.08,0.435,9.0,I,0.105,0.14850000000000002,0.0635,0.3325
0.35000000000000003,0.105,0.425,9.0,M,0.165,0.13,0.063,0.393
0.41000000000000003,0.125,0.545,11.0,F,0.21,0.2975,0.146,0.6935
0.41500000000000004,0.115,0.53,11.0,F,0.18,0.233,0.1585,0.5915
0.375,0.135,0.49,11.0,F,0.22,0.2555,0.10200000000000001,0.6125
0.34,0.105,0.44,10.0,M,0.165,0.1305,0.0955,0.402
0.43,0.15,0.56,9.0,F,0.31,0.34650000000000003,0.17200000000000001,0.8825000000000001
0.305,0.085,0.405,8.0,M,0.085,0.1145,0.059500000000000004,0.2605
0.365,0.105,0.47000000000000003,9.0,F,0.14,0.163,0.10350000000000001,0.42050000000000004
0.295,0.085,0.385,7.0,I,0.085,0.10300000000000001,0.0575,0.2535
0.425,0.14,0.515,14.0,F,0.255,0.304,0.17250000000000001,0.766
0.265,0.075,0.37,6.0,M,0.07,0.09,0.051000000000000004,0.214
0.28,0.08,0.36,6.0,I,0.07,0.081,0.0505,0.17550000000000002
0.195,0.06,0.27,5.0,I,0.03,0.0285,0.0235,0.073
0.275,0.09,0.375,6.0,I,0.07,0.1075,0.0545,0.23800000000000002
0.29,0.085,0.385,8.0,I,0.08,0.112,0.061,0.2505
0.535,0.16,0.7000000000000001,19.0,M,0.54,0.63,0.2635,1.7255
0.54,0.165,0.71,18.0,M,0.78,0.7665000000000001,0.261,1.959
0.48,0.165,0.595,17.0,M,0.41000000000000003,0.48350000000000004,0.28300000000000003,1.262
0.35000000000000003,0.125,0.44,9.0,F,0.129,0.17500000000000002,0.063,0.4035
0.26,0.09,0.325,7.0,F,0.062,0.085,0.036000000000000004,0.1915
0.26,0.095,0.35000000000000003,7.0,I,0.068,0.08600000000000001,0.056,0.211
0.2,0.065,0.265,7.0,I,0.028,0.04,0.0205,0.0975
0.33,0.115,0.425,8.0,F,0.1355,0.1635,0.081,0.406
0.23,0.08,0.305,7.0,F,0.048,0.0675,0.0345,0.156
0.255,0.09,0.34500000000000003,9.0,M,0.063,0.094,0.029500000000000002,0.2005
0.325,0.11,0.405,9.0,F,0.117,0.151,0.063,0.35550000000000004
0.28500000000000003,0.095,0.375,9.0,M,0.0925,0.096,0.0575,0.253
0.445,0.155,0.5650000000000001,10.0,F,0.24750000000000003,0.341,0.20550000000000002,0.8260000000000001
0.45,0.145,0.55,10.0,F,0.2665,0.295,0.14350000000000002,0.741
0.52,0.19,0.65,16.0,M,0.4465,0.519,0.306,1.3445
0.455,0.155,0.56,11.0,M,0.24250000000000002,0.34,0.19,0.797
0.375,0.13,0.47500000000000003,10.0,M,0.17,0.20750000000000002,0.1165,0.5175000000000001
0.38,0.125,0.49,10.0,F,0.17400000000000002,0.245,0.1075,0.549
0.35000000000000003,0.12,0.46,10.0,M,0.1565,0.224,0.108,0.515
0.20500000000000002,0.08,0.28,9.0,I,0.042,0.052000000000000005,0.039,0.127
0.13,0.055,0.17500000000000002,5.0,I,0.0125,0.0105,0.006500000000000001,0.0315
0.13,0.095,0.17,4.0,I,0.01,0.013000000000000001,0.008,0.03
0.47500000000000003,0.145,0.59,15.0,M,0.325,0.4415,0.262,1.053
0.5,0.185,0.605,9.0,F,0.335,0.46900000000000003,0.2585,1.1185
0.515,0.19,0.635,10.0,F,0.45,0.5065000000000001,0.305,1.3715
0.485,0.16,0.605,10.0,F,0.355,0.37,0.23550000000000001,1.0565
0.45,0.135,0.5650000000000001,12.0,F,0.31,0.387,0.1495,0.9885
0.405,0.13,0.515,10.0,M,0.21,0.32,0.131,0.722
0.46,0.19,0.5750000000000001,13.0,F,0.34,0.392,0.24250000000000002,0.994
0.485,0.215,0.645,16.0,M,0.635,0.546,0.2615,1.514
0.455,0.17,0.58,13.0,F,0.28500000000000003,0.374,0.21350000000000002,0.9075000000000001
0.46,0.165,0.5750000000000001,13.0,F,0.44,0.2985,0.17850000000000002,1.124
0.465,0.165,0.605,13.0,M,0.34,0.42150000000000004,0.24750000000000003,1.056
0.485,0.16,0.605,13.0,F,0.28,0.53,0.2575,1.222
0.485,0.17500000000000002,0.61,12.0,M,0.34500000000000003,0.544,0.297,1.2445
0.56,0.21,0.725,18.0,F,1.005,0.65,0.398,2.141
0.545,0.23,0.65,16.0,F,0.8150000000000001,0.5605,0.28950000000000004,1.752
0.5700000000000001,0.19,0.725,14.0,M,0.725,1.0705,0.483,2.55
0.5750000000000001,0.17500000000000002,0.725,20.0,F,0.85,0.765,0.4515,2.124
0.5700000000000001,0.20500000000000002,0.68,20.0,F,0.65,0.625,0.40800000000000003,1.842
0.56,0.22,0.705,14.0,M,0.76,0.8175,0.3085,1.9809999999999999
0.515,0.17500000000000002,0.68,12.0,F,0.62,0.5125000000000001,0.40900000000000003,1.6185
0.55,0.215,0.6950000000000001,14.0,M,0.59,0.7125,0.541,1.9565000000000001
0.395,0.145,0.53,7.0,F,0.255,0.308,0.169,0.775
0.435,0.155,0.525,8.0,M,0.28500000000000003,0.486,0.233,1.065
0.405,0.115,0.52,8.0,F,0.22,0.32,0.1845,0.776
0.16,0.04,0.23500000000000001,5.0,I,0.015,0.018500000000000003,0.018000000000000002,0.048
0.26,0.09,0.36,7.0,I,0.075,0.0645,0.037,0.17850000000000002
0.21,0.06,0.315,5.0,I,0.035,0.06,0.0375,0.125
0.245,0.085,0.315,8.0,I,0.05,0.053,0.0475,0.14350000000000002
0.16,0.045,0.225,4.0,I,0.015,0.025,0.015,0.0465
0.47500000000000003,0.15,0.58,11.0,M,0.35000000000000003,0.385,0.2165,0.97
0.48,0.18,0.5700000000000001,14.0,M,0.295,0.399,0.2,0.9395
0.51,0.17500000000000002,0.64,21.0,M,0.5700000000000001,0.515,0.266,1.3679999999999999
0.45,0.16,0.56,10.0,F,0.30000000000000004,0.429,0.268,1.0235
0.47500000000000003,0.17500000000000002,0.62,10.0,F,0.325,0.4355,0.214,1.0165
0.51,0.2,0.645,12.0,F,0.46,0.621,0.367,1.5675
0.49,0.19,0.62,13.0,M,0.355,0.5455,0.29650000000000004,1.218
0.48,0.15,0.63,12.0,F,0.28500000000000003,0.392,0.336,1.0525
0.5,0.185,0.63,10.0,F,0.38,0.54,0.3315,1.383
0.48,0.16,0.63,11.0,F,0.315,0.5265000000000001,0.335,1.199
0.46,0.17,0.585,9.0,F,0.29,0.365,0.271,0.9325
0.48,0.18,0.615,13.0,M,0.325,0.48450000000000004,0.2165,1.1595
0.485,0.17,0.61,12.0,M,0.36,0.419,0.24050000000000002,1.0225
0.45,0.15,0.58,14.0,M,0.36,0.276,0.18150000000000002,0.927
0.275,0.085,0.355,8.0,I,0.15,0.092,0.06,0.22
0.4,0.14,0.51,10.0,F,0.195,0.459,0.1965,0.8145
0.405,0.155,0.5,12.0,M,0.245,0.34600000000000003,0.1535,0.772
0.41000000000000003,0.15,0.505,11.0,F,0.21,0.28500000000000003,0.145,0.644
0.5,0.185,0.64,16.0,M,0.465,0.4445,0.2635,1.3035
0.45,0.16,0.56,15.0,M,0.26,0.432,0.178,0.922
0.46,0.185,0.585,10.0,M,0.28500000000000003,0.3635,0.213,0.922
0.34500000000000003,0.12,0.45,9.0,F,0.135,0.1655,0.095,0.41650000000000004
0.4,0.165,0.5,13.0,M,0.28500000000000003,0.254,0.20500000000000002,0.8250000000000001
0.4,0.145,0.5,12.0,F,0.23,0.234,0.14650000000000002,0.63
0.435,0.17,0.53,13.0,F,0.275,0.2985,0.155,0.8155
0.335,0.115,0.42,8.0,M,0.12,0.171,0.07100000000000001,0.369
0.34,0.14,0.44,9.0,F,0.16,0.186,0.1085,0.482
0.30000000000000004,0.11,0.4,9.0,I,0.12,0.109,0.067,0.315
0.34,0.11,0.435,8.0,I,0.12,0.1495,0.085,0.3795
0.41500000000000004,0.17,0.525,13.0,F,0.31,0.2755,0.1685,0.8325
0.28,0.095,0.37,7.0,I,0.08,0.122,0.052000000000000005,0.2655
0.365,0.145,0.49,10.0,F,0.22,0.1995,0.1625,0.6345000000000001
0.25,0.09,0.335,7.0,M,0.06,0.0755,0.0415,0.181
0.325,0.105,0.41500000000000004,12.0,F,0.12,0.1595,0.0785,0.38
0.405,0.14,0.5,9.0,M,0.20500000000000002,0.241,0.1355,0.6155
0.395,0.16,0.485,14.0,F,0.23500000000000001,0.24750000000000003,0.128,0.66
0.405,0.14,0.55,10.0,M,0.255,0.244,0.1635,0.8025
0.35000000000000003,0.13,0.45,8.0,M,0.135,0.17400000000000002,0.111,0.46
0.30000000000000004,0.12,0.405,7.0,I,0.11,0.1265,0.07,0.324
0.36,0.135,0.47000000000000003,10.0,M,0.165,0.1665,0.115,0.501
0.305,0.13,0.41500000000000004,8.0,F,0.105,0.1305,0.0755,0.32
0.325,0.125,0.445,9.0,F,0.14,0.17850000000000002,0.1125,0.455
